City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
150,Sitka,US,2022-07-22 16:36:25,overcast clouds,57.0531,-135.33,56.41,77,93,3.83
151,Russell,US,2022-07-22 16:36:25,overcast clouds,32.3502,-85.1999,90.91,48,100,5.88
152,Mabaruma,GY,2022-07-22 16:36:26,broken clouds,8.2,-59.7833,86.5,59,52,6.82
153,Las Lomas,PA,2022-07-22 16:36:26,overcast clouds,8.4333,-82.4,83.19,71,86,6.87
154,Kathmandu,NP,2022-07-22 16:36:26,very heavy rain,27.7167,85.3167,69.82,94,100,1.77
155,Georgetown,MY,2022-07-22 16:32:14,broken clouds,5.4112,100.3354,76.89,96,69,3.42
156,Ilhabela,BR,2022-07-22 16:36:27,scattered clouds,-23.7781,-45.3581,75.6,61,26,4.52
157,Taywarah,AF,2022-07-22 16:36:27,few clouds,33.35,64.4167,70.7,18,18,2.01
158,Niquero,CU,2022-07-22 16:36:28,clear sky,20.0431,-77.5828,87.66,60,9,3.71
159,Ancud,CL,2022-07-22 16:36:28,moderate rain,-41.8697,-73.8203,40.23,96,100,11.5
160,Maniwaki,CA,2022-07-22 16:36:28,few clouds,46.3834,-75.966,82.02,38,16,8.34
161,Westport,US,2022-07-22 16:36:28,clear sky,41.1415,-73.3579,94.17,52,0,3.0
162,Salalah,OM,2022-07-22 16:36:29,overcast clouds,17.0151,54.0924,77.88,88,100,6.69
163,Vallenar,CL,2022-07-22 16:36:29,few clouds,-28.5708,-70.7581,68.74,52,24,3.44
164,Sao Joao Do Piaui,BR,2022-07-22 16:36:30,overcast clouds,-8.3581,-42.2467,92.62,27,100,10.07
165,Bambous Virieux,MU,2022-07-22 16:36:30,light rain,-20.3428,57.7575,71.22,76,36,17.58
166,Dangriga,BZ,2022-07-22 16:36:30,overcast clouds,16.9692,-88.2321,79.2,85,99,19.37
167,Mar Del Plata,AR,2022-07-22 16:35:32,light rain,-38.0023,-57.5575,52.95,63,100,1.99
168,Shannon,IE,2022-07-22 16:36:31,overcast clouds,52.7039,-8.8642,69.13,53,95,4.74
169,Teguise,ES,2022-07-22 16:36:31,broken clouds,29.0605,-13.564,71.8,80,62,18.7
170,Noumea,NC,2022-07-22 16:36:32,broken clouds,-22.2763,166.4572,77.0,99,54,6.8
171,Mumford,GH,2022-07-22 16:36:32,scattered clouds,5.2618,-0.759,76.48,78,50,12.62
172,Istanbul,TR,2022-07-22 16:33:58,clear sky,41.0351,28.9833,78.06,39,0,10.69
173,Trairi,BR,2022-07-22 16:32:19,overcast clouds,-3.2778,-39.2689,85.57,57,95,13.22
174,Onega,RU,2022-07-22 16:36:32,light rain,63.9061,38.1404,72.54,65,68,8.52
175,Javornik,CZ,2022-07-22 16:36:33,clear sky,50.3908,17.0027,85.35,51,0,4.43
176,Eenhana,NA,2022-07-22 16:36:33,clear sky,-17.4667,16.3333,68.27,22,0,5.23
177,Kaliua,TZ,2022-07-22 16:36:33,few clouds,-5.0606,31.7936,74.34,34,14,5.39
178,Kiama,AU,2022-07-22 16:33:59,broken clouds,-34.6833,150.8667,60.01,93,67,1.01
179,Hella,NO,2022-07-22 16:36:34,overcast clouds,67.2,14.4333,52.88,86,99,14.79
180,El Sauzal,MX,2022-07-22 16:36:34,broken clouds,31.9,-116.6833,70.41,81,59,7.23
181,Sosnovo-Ozerskoye,RU,2022-07-22 16:37:34,broken clouds,52.5249,111.5418,66.31,72,68,9.66
182,Cherskiy,RU,2022-07-22 16:37:35,few clouds,68.75,161.3,33.94,87,24,5.48
183,Vila Franca Do Campo,PT,2022-07-22 16:37:35,overcast clouds,37.7167,-25.4333,75.54,66,96,2.64
184,Katsuura,JP,2022-07-22 16:37:35,scattered clouds,35.1333,140.3,78.98,85,34,18.48
185,Yumen,CN,2022-07-22 16:37:36,clear sky,40.2833,97.2,78.04,14,0,11.59
186,Nanortalik,GL,2022-07-22 16:37:36,scattered clouds,60.1432,-45.2371,48.06,81,38,5.44
187,Barrow,US,2022-07-22 16:32:40,overcast clouds,71.2906,-156.7887,34.38,89,100,11.23
188,Yarensk,RU,2022-07-22 16:37:37,broken clouds,62.1675,49.0916,65.7,58,78,4.61
189,Vostok,RU,2022-07-22 16:35:56,heavy intensity rain,46.4856,135.8833,57.15,97,96,3.11
190,Adrar,MR,2022-07-22 16:33:36,light rain,20.5022,-10.0711,98.38,28,59,3.0
191,Boca Do Acre,BR,2022-07-22 16:37:37,few clouds,-8.7522,-67.3978,94.89,34,11,1.92
192,Alice Springs,AU,2022-07-22 16:37:37,clear sky,-23.7,133.8833,52.7,33,0,4.38
193,Ponta Delgada,PT,2022-07-22 16:37:38,overcast clouds,37.7333,-25.6667,74.46,69,99,0.87
194,Elliot Lake,CA,2022-07-22 16:32:46,broken clouds,46.3834,-82.6331,77.81,44,58,11.79
195,Sao Felix Do Xingu,BR,2022-07-22 16:37:38,broken clouds,-6.6447,-51.995,96.37,20,60,3.65
196,Kaitangata,NZ,2022-07-22 16:37:38,broken clouds,-46.2817,169.8464,38.68,92,84,4.68
197,Sibolga,ID,2022-07-22 16:37:39,overcast clouds,1.7427,98.7792,76.69,90,86,4.18
198,Muros,ES,2022-07-22 16:37:39,clear sky,42.7762,-9.0603,81.16,57,10,15.12
199,Kyaikto,MM,2022-07-22 16:37:39,overcast clouds,17.3,97.0167,76.39,91,98,2.64
200,Male,MV,2022-07-22 16:32:52,overcast clouds,4.1748,73.5089,82.04,76,100,18.25
201,Mlonggo,ID,2022-07-22 16:37:40,overcast clouds,-6.5333,110.7,77.95,84,87,5.14
