City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
104,Norman Wells,CA,71.46,scattered clouds,65.282,-126.8329,Heritage Hotel
105,Laguna,US,89.08,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
106,Tamale,GH,84.29,overcast clouds,9.4008,-0.8393,Tap Hotel
107,Jiuquan,CN,77.27,clear sky,39.7432,98.5174,Jiuquan Hotel
108,Santa Elena,EC,69.55,overcast clouds,-2.2333,-80.85,HOTEL CISNE II
109,Gilbues,BR,91.92,clear sky,-9.8317,-45.3439,Hotel Camapuã
110,Avera,US,84.54,overcast clouds,33.194,-82.5271,
112,Harper,LR,79.16,scattered clouds,4.375,-7.7169,Screensaver
113,Kahului,US,76.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
119,Hearst,CA,75.54,scattered clouds,49.6835,-83.6665,Companion
120,Jinji,CN,80.55,clear sky,23.2281,110.8261,
122,Melaka,MY,78.3,overcast clouds,2.196,102.2405,Hatten Hotel Melaka
123,Richards Bay,ZA,68.07,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
125,Hasaki,JP,77.29,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
126,Nyurba,RU,62.83,overcast clouds,63.2842,118.3319,"Гостиница ""Comfort"""
128,Santa Cecilia,BR,72.45,broken clouds,-26.9608,-50.4269,Hotel Italiano
129,Los Llanos De Aridane,ES,72.97,few clouds,28.6585,-17.9182,Valle Aridane
132,Aklavik,CA,68.02,broken clouds,68.2191,-135.0107,Aklavik Inn
133,Rameswaram,IN,81.68,overcast clouds,9.2833,79.3,Daiwik Hotels Rameswaram
136,Faanui,PF,77.65,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
139,Vila Velha,BR,78.94,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
140,Broome,US,87.17,clear sky,42.2506,-75.833,Chenango Valley State Park
142,Bandarbeyla,SO,77.74,overcast clouds,9.4942,50.8122,JABIR HOTEL
145,Boa Vista,BR,85.44,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
146,Astana,KZ,63.73,broken clouds,51.1801,71.446,King Hotel Astana
148,Victoria,HK,89.19,clear sky,22.2855,114.1577,Mini Central
149,Tezu,IN,77.23,overcast clouds,27.9167,96.1667,Circuit House
151,Russell,US,90.91,overcast clouds,32.3502,-85.1999,Macs
152,Mabaruma,GY,86.5,broken clouds,8.2,-59.7833,Monty Brooms Guest House
153,Las Lomas,PA,83.19,overcast clouds,8.4333,-82.4,Hotel Castilla
154,Kathmandu,NP,69.82,very heavy rain,27.7167,85.3167,Hotel Shanker Kathmandu
155,Georgetown,MY,76.89,broken clouds,5.4112,100.3354,Cititel Penang
156,Ilhabela,BR,75.6,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
157,Taywarah,AF,70.7,few clouds,33.35,64.4167,
158,Niquero,CU,87.66,clear sky,20.0431,-77.5828,Islazul Niquero
160,Maniwaki,CA,82.02,few clouds,46.3834,-75.966,Centre Chateau Logue
162,Salalah,OM,77.88,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
163,Vallenar,CL,68.74,few clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
165,Bambous Virieux,MU,71.22,light rain,-20.3428,57.7575,Casa Tia Villa
166,Dangriga,BZ,79.2,overcast clouds,16.9692,-88.2321,Chaleanor Hotel
168,Shannon,IE,69.13,overcast clouds,52.7039,-8.8642,Treacys Oakwood Hotel
169,Teguise,ES,71.8,broken clouds,29.0605,-13.564,B&B La Casona de Nazaret
170,Noumea,NC,77.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
171,Mumford,GH,76.48,scattered clouds,5.2618,-0.759,Spanish Villa
172,Istanbul,TR,78.06,clear sky,41.0351,28.9833,The Marmara Taksim
173,Trairi,BR,85.57,overcast clouds,-3.2778,-39.2689,janelas do mar
174,Onega,RU,72.54,light rain,63.9061,38.1404,Lunny Kot Guest House
175,Javornik,CZ,85.35,clear sky,50.3908,17.0027,Hotel Taverna
177,Kaliua,TZ,74.34,few clouds,-5.0606,31.7936,Millennium Complex
180,El Sauzal,MX,70.41,broken clouds,31.9,-116.6833,Hotel Las Rosas & Spa
181,Sosnovo-Ozerskoye,RU,66.31,broken clouds,52.5249,111.5418,
183,Vila Franca Do Campo,PT,75.54,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
184,Katsuura,JP,78.98,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
185,Yumen,CN,78.04,clear sky,40.2833,97.2,
188,Yarensk,RU,65.7,broken clouds,62.1675,49.0916,Outskirts hotel
193,Ponta Delgada,PT,74.46,overcast clouds,37.7333,-25.6667,Vila Nova Hotel
194,Elliot Lake,CA,77.81,broken clouds,46.3834,-82.6331,Paris Plaza
197,Sibolga,ID,76.69,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
198,Muros,ES,81.16,clear sky,42.7762,-9.0603,Apartment Av. Castelao
199,Kyaikto,MM,76.39,overcast clouds,17.3,97.0167,နီလာ တည်းခိုခန်း
200,Male,MV,82.04,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
201,Mlonggo,ID,77.95,overcast clouds,-6.5333,110.7,Asia Metal Art
204,Hobyo,SO,76.73,broken clouds,5.3505,48.5268,Iftin hotel hobyo
205,Kavieng,PG,81.7,light rain,-2.5744,150.7967,Nusa Island Retreat
206,Puerto Del Rosario,ES,78.76,scattered clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
207,Kibala,TD,74.91,light rain,9.1104,18.3463,Prasant Hotels
209,Cyangugu,RW,64.4,overcast clouds,-2.4846,28.9075,Umucyo Lodge
210,Saint Anthony,US,87.93,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
211,Marzuq,YE,80.56,few clouds,14.4,46.4667,
212,Mount Darwin,ZW,62.49,broken clouds,-16.7725,31.5838,
