City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Banda Aceh,ID,7/19/2022 15:03,5.5577,95.3222,80.4,76,82,11.95
121,Tezu,IN,7/19/2022 15:03,27.9167,96.1667,76.28,99,100,2.8
122,Nizhneangarsk,RU,7/19/2022 15:03,55.7833,109.55,54.36,90,92,3.98
123,Kapaa,US,7/19/2022 15:03,22.0752,-159.319,74.19,91,78,1.01
124,Boyolangu,ID,7/19/2022 15:03,-8.1181,111.8935,73.56,88,66,5.28
125,Chapais,CA,7/19/2022 15:03,49.7834,-74.8492,64.18,89,100,10.74
126,Thompson,CA,7/19/2022 15:02,55.7435,-97.8558,77.36,38,2,7.74
127,Port Antonio,JM,7/19/2022 15:03,18.18,-76.4612,89.01,64,16,10.25
128,Zverinogolovskoye,RU,7/19/2022 15:03,54.4586,64.8542,72.54,72,100,10.18
129,Husavik,IS,7/19/2022 15:03,66.0449,-17.3389,52.34,79,100,4.5
130,Leningradskiy,RU,7/19/2022 15:03,69.3833,178.4167,33.48,98,100,8.7
131,Port Lincoln,AU,7/19/2022 15:00,-34.7333,135.8667,51.96,63,73,14.27
132,Sangre Grande,TT,7/19/2022 15:03,10.5835,-61.1177,83.17,86,14,10.33
133,Nakusp,CA,7/19/2022 15:03,50.2499,-117.8023,69.85,55,2,2.3
134,Molokovo,RU,7/19/2022 15:03,58.1661,36.7628,65.73,52,83,11.45
135,Hovd,MN,7/19/2022 15:03,48.0056,91.6419,63.19,43,5,9.24
136,Geraldton,AU,7/19/2022 15:03,-28.7667,114.6,54.01,87,98,5.75
137,Brawley,US,7/19/2022 15:03,32.9787,-115.5303,93.61,33,0,3.44
138,Idlib,SY,7/19/2022 15:03,35.9306,36.6339,95.13,17,0,16.69
139,Kazerun,IR,7/19/2022 15:03,29.6195,51.6541,96.37,25,1,10.2
140,New Norfolk,AU,7/19/2022 15:04,-42.7826,147.0587,44.1,95,7,2.51
141,Gamba,GA,7/19/2022 15:04,-2.65,10,74.73,74,63,8.3
142,Butaritari,KI,7/19/2022 15:04,3.0707,172.7902,81.82,77,22,16.71
143,Hervey Bay,AU,7/19/2022 15:04,-25.2986,152.8535,61.11,81,3,10.29
144,Hithadhoo,MV,7/19/2022 15:04,-0.6,73.0833,77.86,85,100,10.78
145,Port Alfred,ZA,7/19/2022 15:04,-33.5906,26.891,64.18,91,31,4
146,Bratsk,RU,7/19/2022 15:04,56.1325,101.6142,57.69,90,84,5.55
147,Vao,NC,7/19/2022 15:04,-22.6667,167.4833,72.86,83,96,22.57
148,Vejprty,CZ,7/19/2022 15:04,50.4923,13.0321,90.12,32,15,3
149,San Patricio,US,7/19/2022 15:04,28.017,-97.5169,89.49,56,6,11.54
150,La Ronge,CA,7/19/2022 14:57,55.1001,-105.2842,73.65,60,20,3.44
151,Crotone,IT,7/19/2022 15:04,39.0851,17.1178,87.19,46,0,4.03
152,Cidreira,BR,7/19/2022 15:04,-30.1811,-50.2056,61.95,75,64,6.46
153,Sigli,ID,7/19/2022 15:04,5.3848,95.9609,81.54,75,95,7.45
154,Bengkulu,ID,7/19/2022 15:04,-3.8004,102.2655,78.13,86,22,4.07
155,Avanigadda,IN,7/19/2022 15:04,16.0215,80.9181,85.91,72,100,5.14
156,Tazovskiy,RU,7/19/2022 15:04,67.4667,78.7,60.42,56,53,8.5
157,Japura,ID,7/19/2022 15:04,-0.3167,102.35,76.26,94,2,1.3
158,Cairns,AU,7/19/2022 15:01,-16.9167,145.7667,64.35,83,8,4.61
159,Khandyga,RU,7/19/2022 15:04,62.6667,135.6,66.49,68,98,4.72
160,Hambantota,LK,7/19/2022 15:02,6.1241,81.1185,77.34,100,75,4.61
161,Portobelo,PA,7/19/2022 15:04,9.55,-79.65,88.95,80,80,7.11
162,Bilma,NE,7/19/2022 15:04,18.6853,12.9164,105.71,10,7,5.01
163,Springbok,ZA,7/19/2022 15:04,-29.6643,17.8865,55.36,50,7,14.94
164,Bouca,CF,7/19/2022 15:04,6.5105,18.2733,70.57,97,100,3.62
165,Meulaboh,ID,7/19/2022 15:04,4.1363,96.1285,78.94,78,99,0.13
166,Panaba,MX,7/19/2022 15:04,21.2833,-88.2667,90.1,51,57,8.25
167,Araouane,ML,7/19/2022 14:57,18.9048,-3.5265,104.18,24,37,13.76
168,Goryachegorsk,RU,7/19/2022 15:04,55.4053,88.9154,56.21,77,100,11.63
169,Manakara,MG,7/19/2022 15:04,-22.1333,48.0167,68.11,78,13,10.56
170,Boa Vista,BR,7/19/2022 15:00,2.8197,-60.6733,80.92,77,100,5.59
171,Dzaoudzi,YT,7/19/2022 15:04,-12.7887,45.2699,76.89,69,40,8.05
172,Mareeba,AU,7/19/2022 15:04,-17,145.4333,59.72,84,6,2.73
173,Dalian,CN,7/19/2022 15:04,38.9122,121.6022,78.73,53,0,4.47
174,Sterling,US,7/19/2022 15:02,39.0062,-77.4286,84.4,76,75,8.05
175,Great Bend,US,7/19/2022 15:04,38.3645,-98.7648,84.33,42,0,16.11
176,Pevek,RU,7/19/2022 15:04,69.7008,170.3133,31.75,92,90,16.4
177,Kahului,US,7/19/2022 14:56,20.8947,-156.47,71.96,88,11,13
178,Hokitika,NZ,7/19/2022 15:04,-42.7167,170.9667,49.69,93,62,5.84
